"","country","year","suicides_no","population","percentage"
"1","Antigua and Barbuda",2015,0,33399,0
"2","Argentina",2015,867,14116155,0.00614189912196345
"3","Armenia",2015,5,805354,0.00062084499487182
"4","Aruba",2015,4,28765,0.0139057882843734
"5","Australia",2015,405,6070956,0.00667110748290714
"6","Austria",2015,82,1832927,0.00447371881149658
"7","Belgium",2015,118,2595197,0.00454686098974375
"8","Belize",2015,6,151235,0.00396733560353093
"9","Brazil",2015,1921,66103882,0.0029060320542143
"10","Brunei Darussalam",2015,0,136374,0
"11","Chile",2015,310,5249244,0.00590561231293497
"12","Colombia",2015,732,16242908,0.00450658219574968
"13","Croatia",2015,43,897995,0.00478844536996309
"14","Cuba",2015,77,2678647,0.00287458556502593
"15","Cyprus",2015,6,208030,0.00288419939431813
"16","Czech Republic",2015,84,2126243,0.00395063029014087
"17","Denmark",2015,27,1395237,0.00193515510268148
"18","Ecuador",2015,406,6015471,0.00674926369024138
"19","Egypt",2015,18,35483398,5.0727948884715e-05
"20","Estonia",2015,24,275744,0.0087037251943832
"21","Finland",2015,76,1248375,0.00608791428857515
"22","Georgia",2015,20,921900,0.00216943269335069
"23","Germany",2015,531,15949437,0.00332927112098063
"24","Greece",2015,23,2180466,0.00105482039160436
"25","Grenada",2015,0,38404,0
"26","Guatemala",2015,232,7359954,0.00315219361425357
"27","Hong Kong SAR",2015,66,1355700,0.00486833370214649
"28","Hungary",2015,87,2105921,0.00413120910043634
"29","Iceland",2015,7,91587,0.0076430061034863
"30","Iran (Islamic Rep of)",2015,853,24465979,0.00348647401356798
"31","Israel",2015,46,2766160,0.00166295514359256
"32","Italy",2015,208,11651750,0.00178513957130903
"33","Japan",2015,1589,22702838,0.00699912495521485
"34","Kazakhstan",2015,482,5427739,0.00888030909371287
"35","Kyrgyzstan",2015,125,2211907,0.00565123217205787
"36","Latvia",2015,28,402939,0.00694894264392377
"37","Lithuania",2015,81,641406,0.0126285067492353
"38","Luxembourg",2015,6,130392,0.00460150929504878
"39","Malta",2015,3,93798,0.00319836243843152
"40","Mauritius",2015,21,360794,0.00582049590625121
"41","Mexico",2015,2063,46083481,0.00447665834965896
"42","Netherlands",2015,130,4008181,0.00324336650465635
"43","Nicaragua",2015,121,2415639,0.00500902659710329
"44","Norway",2015,64,1296301,0.00493712494243235
"45","Panama",2015,25,1386805,0.00180270477824929
"46","Poland",2015,520,8259397,0.00629585912869911
"47","Puerto Rico",2015,12,1036910,0.00115728462450936
"48","Qatar",2015,15,578328,0.00259368386106154
"49","Republic of Korea",2015,708,11663838,0.00607004315389154
"50","Republic of Moldova",2015,42,877897,0.00478416032860347
"51","Rodrigues",2015,1,15255,0.00655522779416585
"52","Romania",2015,153,4304694,0.00355425960590927
"53","Russian Federation",2015,2442,30949856,0.00789018210617846
"54","Saint Vincent and Grenadines",2015,2,37635,0.00531420220539392
"55","Serbia",2015,37,1471243,0.00251488027470649
"56","Seychelles",2015,2,24945,0.00801763880537182
"57","Singapore",2015,37,925869,0.00399624568918497
"58","Slovenia",2015,18,397684,0.00452620673700727
"59","South Africa",2015,141,20858007,0.000675999389586934
"60","Spain",2015,164,9269841,0.00176917813369183
"61","Sweden",2015,115,2289646,0.0050226104821444
"62","Switzerland",2015,86,1748057,0.00491974804025269
"63","Thailand",2015,398,17473486,0.00227773668059138
"64","Turkey",2015,374,25377327,0.00147375647561305
"65","Turkmenistan",2015,53,2036119,0.00260299127899695
"66","Ukraine",2015,676,8831037,0.0076548201530579
"67","United Kingdom",2015,488,15622253,0.00312374918009585
"68","United States",2015,5904,85865774,0.00687584787857383
"69","Uruguay",2015,96,1013736,0.00946992116290632
"70","Virgin Islands (USA)",2015,0,27998,0
