"","country","year","suicides_no","population","percentage","h_rank","h_score","gdp_capita","life_exp","freedom"
"1","Argentina",2015,867,14116155,0.00614189912196345,30,6.574,1.05351,0.78723,0.44974
"2","Armenia",2015,5,805354,0.00062084499487182,127,4.35,0.76821,0.7299,0.19847
"3","Australia",2015,405,6070956,0.00667110748290714,10,7.284,1.33358,0.93156,0.65124
"4","Austria",2015,82,1832927,0.00447371881149658,13,7.2,1.33723,0.89042,0.62433
"5","Belgium",2015,118,2595197,0.00454686098974375,19,6.937,1.30782,0.89667,0.5845
"6","Brazil",2015,1921,66103882,0.0029060320542143,16,6.983,0.98124,0.69702,0.49049
"7","Chile",2015,310,5249244,0.00590561231293497,27,6.67,1.10715,0.85857,0.44132
"8","Colombia",2015,732,16242908,0.00450658219574968,33,6.477,0.91861,0.69077,0.53466
"9","Croatia",2015,43,897995,0.00478844536996309,62,5.759,1.08254,0.78805,0.25883
"10","Cyprus",2015,6,208030,0.00288419939431813,67,5.689,1.20813,0.92356,0.40672
"11","Czech Republic",2015,84,2126243,0.00395063029014087,31,6.505,1.17898,0.84483,0.46364
"12","Denmark",2015,27,1395237,0.00193515510268148,3,7.527,1.32548,0.87464,0.64938
"13","Ecuador",2015,406,6015471,0.00674926369024138,48,5.975,0.86402,0.79075,0.48574
"14","Egypt",2015,18,35483398,5.0727948884715e-05,135,4.194,0.8818,0.61712,0.17288
"15","Estonia",2015,24,275744,0.0087037251943832,73,5.429,1.15174,0.77361,0.44888
"16","Finland",2015,76,1248375,0.00608791428857515,6,7.406,1.29025,0.88911,0.64169
"17","Georgia",2015,20,921900,0.00216943269335069,130,4.297,0.7419,0.72926,0.40577
"18","Germany",2015,531,15949437,0.00332927112098063,26,6.75,1.32792,0.89186,0.61477
"19","Greece",2015,23,2180466,0.00105482039160436,102,4.857,1.15406,0.88213,0.07699
"20","Guatemala",2015,232,7359954,0.00315219361425357,43,6.123,0.74553,0.64425,0.57733
"21","Hungary",2015,87,2105921,0.00413120910043634,104,4.8,1.12094,0.75905,0.32112
"22","Iceland",2015,7,91587,0.0076430061034863,2,7.561,1.30232,0.94784,0.62877
"23","Israel",2015,46,2766160,0.00166295514359256,11,7.278,1.22857,0.91387,0.41319
"24","Italy",2015,208,11651750,0.00178513957130903,50,5.948,1.25114,0.95446,0.26236
"25","Japan",2015,1589,22702838,0.00699912495521485,46,5.987,1.27074,0.99111,0.49615
"26","Kazakhstan",2015,482,5427739,0.00888030909371287,54,5.855,1.12254,0.64368,0.51649
"27","Kyrgyzstan",2015,125,2211907,0.00565123217205787,77,5.286,0.47428,0.65088,0.43477
"28","Latvia",2015,28,402939,0.00694894264392377,89,5.098,1.11312,0.72437,0.29671
"29","Lithuania",2015,81,641406,0.0126285067492353,56,5.833,1.14723,0.73128,0.21342
"30","Luxembourg",2015,6,130392,0.00460150929504878,17,6.946,1.56391,0.91894,0.61583
"31","Malta",2015,3,93798,0.00319836243843152,37,6.302,1.2074,0.88721,0.60365
"32","Mauritius",2015,21,360794,0.00582049590625121,71,5.477,1.00761,0.7095,0.56066
"33","Mexico",2015,2063,46083481,0.00447665834965896,14,7.187,1.02054,0.81444,0.48181
"34","Netherlands",2015,130,4008181,0.00324336650465635,7,7.378,1.32944,0.89284,0.61576
"35","Nicaragua",2015,121,2415639,0.00500902659710329,57,5.828,0.59325,0.74314,0.55475
"36","Norway",2015,64,1296301,0.00493712494243235,4,7.522,1.459,0.88521,0.66973
"37","Panama",2015,25,1386805,0.00180270477824929,25,6.786,1.06353,0.79661,0.5421
"38","Poland",2015,520,8259397,0.00629585912869911,60,5.791,1.12555,0.77903,0.53122
"39","Qatar",2015,15,578328,0.00259368386106154,28,6.611,1.69042,0.79733,0.6404
"40","Romania",2015,153,4304694,0.00355425960590927,86,5.124,1.04345,0.7689,0.35068
"41","Serbia",2015,37,1471243,0.00251488027470649,87,5.123,0.92053,0.74836,0.20107
"42","Singapore",2015,37,925869,0.00399624568918497,24,6.798,1.52186,1.02525,0.54252
"43","Slovenia",2015,18,397684,0.00452620673700727,55,5.848,1.18498,0.87337,0.60855
"44","South Africa",2015,141,20858007,0.000675999389586934,113,4.642,0.92049,0.27688,0.33207
"45","Spain",2015,164,9269841,0.00176917813369183,36,6.329,1.23011,0.95562,0.45951
"46","Sweden",2015,115,2289646,0.0050226104821444,8,7.364,1.33171,0.91087,0.6598
"47","Switzerland",2015,86,1748057,0.00491974804025269,1,7.587,1.39651,0.94143,0.66557
"48","Thailand",2015,398,17473486,0.00227773668059138,34,6.455,0.9669,0.7385,0.55664
"49","Turkey",2015,374,25377327,0.00147375647561305,76,5.332,1.06098,0.73172,0.22815
"50","Turkmenistan",2015,53,2036119,0.00260299127899695,70,5.548,0.95847,0.53886,0.4761
"51","Ukraine",2015,676,8831037,0.0076548201530579,111,4.681,0.79907,0.6739,0.25123
"52","United Kingdom",2015,488,15622253,0.00312374918009585,21,6.867,1.26637,0.90943,0.59625
"53","United States",2015,5904,85865774,0.00687584787857383,15,7.119,1.39451,0.86179,0.54604
"54","Uruguay",2015,96,1013736,0.00946992116290632,32,6.485,1.06166,0.8116,0.60362
